index, exposure (ty), pp+Be, +N, +O, +pep
19, 3.7649358067924683, 0.4292407999328535, 0.4467331003324885, 0.5498536339197113, 0.6061275891556147
20, 4.0370172585965545, 0.44513401541632147, 0.46896478640361283, 0.5790066822718523, 0.6395395559601877
21, 4.328761281083058, 0.4608483189490721, 0.49128264357471096, 0.6087973591825669, 0.6741248385475863
22, 4.641588833612779, 0.4763529935740525, 0.5136152459507163, 0.6391562527004048, 0.7098546207679037
23, 4.977023564332112, 0.491616166178655, 0.5358876569659773, 0.670009935640663, 0.7467020962143055
24, 5.3366992312063095, 0.5066047573341962, 0.5580209449364723, 0.7012796851142826, 0.7846417174504624
25, 5.722367659350217, 0.5212844411110693, 0.57993170572645, 0.7328800266388, 0.8236482474494178
26, 6.1359072734131725, 0.5354086581906977, 0.6003733037661277, 0.7624840167194235, 0.8620124149214183
27, 6.579332246575681, 0.5485206966461734, 0.6199216477396711, 0.7916860922044885, 0.9007052194325833
28, 7.054802310718643, 0.5615335716770533, 0.6389399740811942, 0.8209316227698417, 0.9404152403131787
29, 7.564633275546289, 0.5736734559707258, 0.6569154543659455, 0.8494492563545055, 0.9807734587992474
30, 8.111308307896872, 0.5846580842727457, 0.6737052878159283, 0.8769581841929284, 1.0216278397349092
31, 8.697490026177835, 0.5957099073598908, 0.689725550087534, 0.9046394655540476, 1.063212532651182
32, 9.326033468832199, 0.6056973972164977, 0.7045366219245902, 0.9312003203584462, 1.1050174840977198
33, 10.0, 0.6149396245984532, 0.7181528822138956, 0.9565559280370461, 1.1467361113814405
34, 10.722672220103231, 0.6234576445221683, 0.7305323203727819, 0.9807434568510407, 1.1885633617241755
35, 11.497569953977356, 0.6314353839397743, 0.7417689920219995, 1.003665664877452, 1.2306473597008623
36, 12.32846739442066, 0.6390872426186667, 0.7521781975442681, 1.0257238587617519, 1.2727197586011378
37, 13.219411484660293, 0.6460938003457903, 0.7612516167668962, 1.0464764071613895, 1.3141467213639797
38, 14.174741629268055, 0.6527367317286239, 0.7685563820877181, 1.0651414564692976, 1.354262949954588
39, 15.199110829529339, 0.6588619270987169, 0.7745139115747871, 1.0821877705761795, 1.3929052741807255
40, 16.297508346206442, 0.6646455385178894, 0.779285633379266, 1.0977814874132417, 1.42972980593982
41, 17.47528400007684, 0.6702103321280484, 0.7828224560264153, 1.111445513132137, 1.4647326693725184
42, 18.73817422860384, 0.675946956418739, 0.7852688126249728, 1.1228835408244873, 1.4970986782745868
43, 20.09233002565047, 0.681176762455632, 0.7872364525684925, 1.1338128052672962, 1.5289603469350888
44, 21.544346900318846, 0.6864555041160622, 0.7889158791026306, 1.1447137007232073, 1.5607838725514789
45, 23.101297000831604, 0.6920998715591438, 0.7907102359482838, 1.1566933846896839, 1.593497816206539
46, 24.770763559917114, 0.6969756449853602, 0.7924887747987899, 1.1689844893676227, 1.6277371972890777
47, 26.560877829466868, 0.7019425745723444, 0.794811220864826, 1.1819869646197154, 1.6622870257880253
48, 28.48035868435802, 0.7075018629836107, 0.7975394948641762, 1.1961336202623003, 1.697907139344896
49, 30.538555088334157, 0.7130725223938198, 0.7999202683408579, 1.2101460161685282, 1.732858137106111
50, 32.74549162877728, 0.7191244470153849, 0.803048801344688, 1.2248835507046616, 1.7677371026630422
51, 35.11191734215131, 0.7253590064409481, 0.806172534915314, 1.2401980670097814, 1.8040011429774505
52, 37.64935806792467, 0.7312147412452104, 0.8091128577840885, 1.256396617791458, 1.8407825044680668
53, 40.370172585965555, 0.7367883024099521, 0.8116976051725336, 1.27286483454795, 1.8762100425323875
54, 43.287612810830595, 0.7430392614426148, 0.8149948343669514, 1.2896738136064945, 1.9115677147042796
55, 46.4158883361278, 0.7492759167493198, 0.8186209539784095, 1.307270604198473, 1.9466640739423209
56, 49.770235643321115, 0.7555531683341895, 0.8226344089834606, 1.3255966644465345, 1.9818544048942104
57, 53.3669923120631, 0.761862902138649, 0.8264462192348538, 1.3442496834208966, 2.016648054313855
58, 57.22367659350217, 0.7682219625161255, 0.8302062812676727, 1.3635248656761871, 2.0511467379055053
