index, exposure (ty), pp, 7Be, 13N, 15O, pep
3030, 606.5151030206041, 0.08344236308536299, 0.8622979429641886, 15.43247424893207, 18.88635307284788, 27.5812928038488
3031, 606.7149429885977, 0.08342549893669099, 0.8621558780048691, 15.43027687009802, 18.883735180138565, 27.57736776423181
3032, 606.9147829565912, 0.08340864406928211, 0.8620138832503159, 15.428080545649827, 18.881118533159817, 27.573444550245068
3033, 607.1146229245849, 0.08339179847489497, 0.8618719586427166, 15.425885274725987, 18.878503130899006, 27.569523160450476
3034, 607.3144628925785, 0.08337496214529827, 0.8617301041243259, 15.423691056466, 18.87588897234469, 27.56560359341152
3035, 607.5143028605721, 0.08335813507227081, 0.8615883196374647, 15.421497890010352, 18.873276056486592, 27.56168584769329
3036, 607.7141428285657, 0.08334131724760141, 0.8614466051245205, 15.419305774500526, 18.87066438231558, 27.55776992186245
3037, 607.9139827965593, 0.0833245086630889, 0.8613049605279474, 15.417114709078989, 18.8680539488237, 27.55385581448728
3038, 608.1138227645529, 0.08330770931054213, 0.8611633857902647, 15.414924692889201, 18.865444755004138, 27.54994352413763
3039, 608.3136627325465, 0.08329091918177992, 0.8610218808540593, 15.412735725075605, 18.862836799851245, 27.54603304938492
3040, 608.5135027005401, 0.08327413826863114, 0.8608804456619832, 15.410547804783631, 18.86023008236052, 27.542124388802193
3041, 608.7133426685336, 0.08325736656293459, 0.8607390801567549, 15.408360931159699, 18.857624601528627, 27.538217540964045
3042, 608.9131826365273, 0.08324060405653896, 0.860597784281158, 15.406175103351199, 18.85502035635336, 27.534312504446646
3043, 609.1130226045209, 0.08322385074130297, 0.8604565579780427, 15.403990320506514, 18.852417345833683, 27.53040927782776
3044, 609.3128625725145, 0.08320710660909517, 0.860315401190324, 15.401806581774993, 18.849815568969692, 27.52650785968671
3045, 609.512702540508, 0.08319037165179409, 0.8601743138609835, 15.39962388630698, 18.847215024762633, 27.522608248604413
3046, 609.7125425085017, 0.08317364586128807, 0.8600332959330674, 15.397442233253782, 18.844615712214896, 27.518710443163318
3047, 609.9123824764953, 0.0831569292294754, 0.8598923473496876, 15.39526162176769, 18.84201763033001, 27.514814441947482
3048, 610.1122224444889, 0.08314022174826417, 0.8597514680540214, 15.393082051001961, 18.839420778112657, 27.510920243542493
3049, 610.3120624124824, 0.08312352340957234, 0.8596106579893105, 15.390903520110824, 18.836825154568633, 27.507027846535525
3050, 610.511902380476, 0.08310683420532766, 0.859469917098863, 15.388726028249492, 18.834230758704898, 27.50313724951529
3051, 610.7117423484697, 0.08309015412746774, 0.8593292453260509, 15.386549574574133, 18.83163758952952, 27.499248451072088
3052, 610.9115823164633, 0.08307348316793996, 0.8591886426143119, 15.384374158241886, 18.829045646051732, 27.495361449797752
3053, 611.1114222844568, 0.08305682131870148, 0.8590481089071477, 15.382199778410865, 18.826454927281873, 27.491476244285668
3054, 611.3112622524504, 0.08304016857171921, 0.8589076441481248, 15.380026434240138, 18.823865432231415, 27.48759283313079
3055, 611.5111022204441, 0.08302352491896985, 0.858767248280875, 15.377854124889739, 18.821277159912974, 27.483711214929606
3056, 611.7109421884377, 0.08300689035243983, 0.8586269212490942, 15.375682849520675, 18.818690109340277, 27.47983138828016
3057, 611.9107821564313, 0.08299026486412524, 0.8584866629965422, 15.373512607294895, 18.816104279528183, 27.47595335178204
3058, 612.1106221244248, 0.08297364844603193, 0.858346473467044, 15.371343397375329, 18.81351966949268, 27.472077104036373
3059, 612.3104620924184, 0.08295704109017546, 0.8582063526044884, 15.369175218925847, 18.810936278250864, 27.468202643645828
3060, 612.5103020604121, 0.08294044278858098, 0.8580663003528277, 15.367008071111279, 18.808354104820964, 27.464329969214603
3061, 612.7101420284057, 0.08292385353328341, 0.8579263166560799, 15.364841953097418, 18.805773148222315, 27.460459079348453
3062, 612.9099819963992, 0.08290727331632725, 0.8577864014583254, 15.362676864051009, 18.803193407475383, 27.456589972654662
3063, 613.1098219643928, 0.0828907021297666, 0.8576465547037085, 15.36051280313974, 18.800614881601735, 27.452722647742018
3064, 613.3096619323865, 0.08287413996566527, 0.8575067763364386, 15.358349769532259, 18.79803756962407, 27.448857103220874
3065, 613.5095019003801, 0.08285758681609655, 0.8573670663007871, 15.356187762398166, 18.79546147056618, 27.444993337703096
3066, 613.7093418683736, 0.08284104267314348, 0.8572274245410902, 15.354026780907995, 18.79288658345298, 27.441131349802074
3067, 613.9091818363672, 0.08282450752889847, 0.857087851001747, 15.351866824233241, 18.790312907310476, 27.43727113813272
