index, exposure (ty), pp+Be, +N, +O, +pep
19, 3.7649358067924683, 0.14571637586858663, 0.14571637586858663, 0.2641472322563934, 0.33921546705891753
20, 4.0370172585965545, 0.1581399515931282, 0.1581399515931282, 0.2742595586424831, 0.3548423737390504
21, 4.328761281083058, 0.17123761295862605, 0.17123761295862605, 0.28514056047115477, 0.37146486300453174
22, 4.641588833612779, 0.1849895032974933, 0.1849895032974933, 0.29680890925602943, 0.38907910306804644
23, 4.977023564332112, 0.1993764761232684, 0.1993764761232684, 0.3092845963932867, 0.4076837057905286
24, 5.3366992312063095, 0.21438011967140694, 0.21438011967140694, 0.3225891194844755, 0.42727996346864955
25, 5.722367659350217, 0.2299827774290541, 0.2299827774290541, 0.33674569607044186, 0.4478721161905244
26, 6.1359072734131725, 0.24735229411894644, 0.24735229411894644, 0.3547414506178341, 0.47167778970634344
27, 6.579332246575681, 0.26552447027543163, 0.26552447027543163, 0.3739456948409201, 0.4964368581995155
28, 7.054802310718643, 0.2840347612988424, 0.2840347612988424, 0.3942693440516534, 0.5224013682777349
29, 7.564633275546289, 0.3031701312287694, 0.3031701312287694, 0.41540827848346695, 0.5490552305509482
30, 8.111308307896872, 0.3228382556760477, 0.3228382556760477, 0.4376640149807656, 0.5776018052934428
31, 8.697490026177835, 0.34328360966085664, 0.34328360966085664, 0.46038413649337817, 0.6064351190878192
32, 9.326033468832199, 0.36377714940403993, 0.36377714940403993, 0.4842058166166749, 0.6363737708759701
33, 10.0, 0.3843272382899804, 0.3843272382899804, 0.5082491022349561, 0.6666703161803638
34, 10.722672220103231, 0.4050571101658728, 0.4050571101658728, 0.5327488572153901, 0.697946915839415
35, 11.497569953977356, 0.42640532945927767, 0.42640532945927767, 0.5580491445250887, 0.7305044801475665
36, 12.32846739442066, 0.447507724643377, 0.447507724643377, 0.5835384386432668, 0.763419812955279
37, 13.219411484660293, 0.46880952378296054, 0.46880952378296054, 0.6098716979057058, 0.7971116992861852
38, 14.174741629268055, 0.4874141352041744, 0.49028389401789235, 0.6370409103801002, 0.8315383770731205
39, 15.199110829529339, 0.5033331679454579, 0.5114487980579661, 0.6647433763500024, 0.8670038349168756
40, 16.297508346206442, 0.5191841512428239, 0.5322890422111892, 0.6930926080215885, 0.9034132252883118
41, 17.47528400007684, 0.5347082250015426, 0.5530704885090754, 0.7217463324165277, 0.9402892583745048
42, 18.73817422860384, 0.5501252027278403, 0.5737080960300404, 0.7509811479747416, 0.9778412531204657
43, 20.09233002565047, 0.5647439869435092, 0.5937274301996637, 0.7804231075034642, 1.0157084375275005
44, 21.544346900318846, 0.5788855532686246, 0.6137191995160172, 0.8103149470773445, 1.054213650449258
45, 23.101297000831604, 0.5920113720405012, 0.6325593513096665, 0.8402840523887422, 1.0930660463809694
46, 24.770763559917114, 0.6044941038299215, 0.650911573768981, 0.8701419855729715, 1.1324612425496041
47, 26.560877829466868, 0.6168217970548271, 0.6692605918903832, 0.9007837464537372, 1.1727334769311424
48, 28.48035868435802, 0.6290592275433208, 0.6868080414776934, 0.9312610890815675, 1.2129812084313365
49, 30.538555088334157, 0.6402238667721493, 0.7032870537823074, 0.9612983800324362, 1.252581762153315
50, 32.74549162877728, 0.6506793428103373, 0.7193036252563725, 0.9916339685215931, 1.2931016244623952
51, 35.11191734215131, 0.6609899863360185, 0.7344299494973964, 1.0212980143793626, 1.3339003764559256
52, 37.64935806792467, 0.6710517726332298, 0.7488674160849832, 1.0505786762837939, 1.3737696060049123
53, 40.370172585965555, 0.6804558651363413, 0.7621176073132381, 1.0792351045784003, 1.4128172150030625
54, 43.287612810830595, 0.6895742220628102, 0.7747623359852457, 1.1072686070838298, 1.4519677005090714
55, 46.4158883361278, 0.6980875334522652, 0.7864475234404699, 1.1342105951333594, 1.4903860498607107
56, 49.770235643321115, 0.7059262728070406, 0.7968952638330599, 1.1599633464629888, 1.5281457920702468
57, 53.3669923120631, 0.7132490872960574, 0.8064607781002776, 1.185543941616431, 1.5656928000114223
58, 57.22367659350217, 0.7209271098515805, 0.8151893173685569, 1.2095367782474629, 1.6015461674994815
59, 61.35907273413173, 0.7275019638457815, 0.8228649092225416, 1.2318520892784475, 1.6353021163765362
60, 65.79332246575683, 0.7343410426671012, 0.8295488395607121, 1.252393612640848, 1.667074625796389
61, 70.54802310718645, 0.7402985267753488, 0.8346132933981399, 1.2705718797166354, 1.6956439727948096
62, 75.64633275546291, 0.7462333409858243, 0.8389043455225547, 1.2870048743705, 1.7222446175041894
63, 81.11308307896873, 0.751450620988188, 0.8420400315939219, 1.3010275310774286, 1.744646322442879
64, 86.97490026177834, 0.7568884611867401, 0.8450735571306016, 1.3139400830771935, 1.7656467481578988
65, 93.26033468832199, 0.7615241690898681, 0.8466778549966761, 1.325248044908061, 1.7844087759617429
66, 100.0, 0.7659411595012071, 0.8485082533282351, 1.3366598474273, 1.8027408476278923
67, 107.22672220103232, 0.7699182224723743, 0.8493997087939146, 1.3470048423388383, 1.8194948117953051
68, 114.97569953977356, 0.773456365794009, 0.8504530518693896, 1.3573447889133643, 1.8364668762009209
69, 123.28467394420659, 0.7772465908572196, 0.8515143509051807, 1.3682205238629526, 1.8533512606363
70, 132.19411484660287, 0.7807648157111289, 0.8525957479620108, 1.3794672418643728, 1.8696954122465375
71, 141.74741629268047, 0.783848210149451, 0.8538459667770212, 1.391591749851277, 1.8880988573618769
72, 151.99110829529332, 0.7870537911183626, 0.8553141366765462, 1.4052924794406165, 1.907573989703041
73, 162.9750834620645, 0.7900160005518253, 0.8570535481014794, 1.420404400089954, 1.928572959770694
74, 174.7528400007685, 0.7928149461752956, 0.8587423020485611, 1.4355167538786404, 1.9491762598318114
75, 187.3817422860385, 0.7954695374829688, 0.8606110169871011, 1.4491230374431303, 1.9671540830422627
76, 200.9233002565048, 0.7979482508063899, 0.8623922729826522, 1.462581174659607, 1.9844028179347328
77, 215.44346900318845, 0.8002597735194027, 0.8640982312725837, 1.4759049274520146, 2.0009321864125846
78, 231.01297000831605, 0.8024129246828945, 0.865741140916252, 1.4891093908198751, 2.0167606155371978
79, 247.70763559917114, 0.8044166452960246, 0.8673333322388578, 1.5022110701950813, 2.0319158886260964
80, 265.6087782946687, 0.8062799887421169, 0.8688872114382244, 1.515227964243437, 2.0464356921872984
81, 284.8035868435802, 0.8080121115005129, 0.8704152564073693, 1.5281796545432036, 2.0603680570827385
82, 305.3855508833416, 0.8096222641908661, 0.8719300138214986, 1.541087403891435, 2.0737717032163303
83, 327.45491628777285, 0.8111197830112427, 0.8734440975349214, 1.553974265366202, 2.0867163092319334
84, 351.1191734215131, 0.8125140816262519, 0.8749701883314066, 1.5668652047231753, 2.099282741757055
85, 376.49358067924675, 0.8138146435562627, 0.8765210350708958, 1.5797872392469194, 2.1115632923836998
86, 403.70172585965537, 0.8150310151137151, 0.8781094572762207, 1.5927695968355469, 2.123661984911879
87, 432.8761281083057, 0.816172798927655, 0.8797483492057405, 1.6058438999047715, 2.1356950309674567
88, 464.1588833612782, 0.8172496480929996, 0.8814506854616149, 1.6190443796978686, 2.1477915302167934
89, 497.7023564332114, 0.8182712609767185, 0.8832295281889451, 1.6324081278404252, 2.16009453426845
90, 533.6699231206312, 0.819247376709173, 0.8850980359283033, 1.6459753935627797, 2.1727626245713387
91, 572.236765935022, 0.8201877713853443, 0.8870694741934183, 1.659789937036934, 2.185972199823549
92, 613.5907273413176, 0.8211022549976147, 0.8891572278571239, 1.6738994518875652, 2.199920736484018
93, 657.9332246575682, 0.8220006691192281, 0.8913748154423289, 1.6883560733448122, 2.2148313912840347
94, 705.4802310718645, 0.8228928853555354, 0.8937359054309693, 1.7032169929992904, 2.230959481121091
95, 756.463327554629, 0.8237888045786956, 0.8962543347229406, 1.7185452071076455, 2.2486016448603894
96, 811.1308307896873, 0.8246983569606483, 0.8989441293992751, 1.734410433469514, 2.2681089380558763
97, 869.7490026177834, 0.8256315028189392, 0.901819527969729, 1.7508902429129616, 2.289905875711792
98, 932.60334688322, 0.8265982342903895, 0.9048950073150329, 1.7680714666557753, 2.314518795954714
99, 1000.0, 0.827608577848661, 0.9081853115690044, 1.7860519621644741, 2.3426194415092865
