index, exposure (ty), pp, 7Be, 13N, 15O, pep, v capture
1415, 283.77355471094216, 0.08382425891649582, 0.49822321205830317, 10.195517148317515, 12.259821850482664, 16.001103052550288, 26.240844455196864
1416, 283.9733946789358, 0.08378381113914864, 0.49804580218769284, 10.192423744580454, 12.256381993663775, 15.996636152530852, 26.23091635630594
1417, 284.17323464692936, 0.08374341322123756, 0.4978685817065447, 10.18933357218395, 12.252945652259168, 15.992174001558904, 26.220998152998007
1418, 284.373074614923, 0.08370306506538694, 0.49769155027815415, 10.186246625361106, 12.249512820073797, 15.987716590867995, 26.211089829298214
1419, 284.57291458291655, 0.08366276657448067, 0.49751470756665367, 10.183162898359585, 12.246083490928113, 15.983263911714724, 26.20119136926738
1420, 284.7727545509102, 0.08362251765166118, 0.4973380532370103, 10.180082385441557, 12.24265765865801, 15.978815955378625, 26.191302757001854
1421, 284.97259451890375, 0.0835823182003288, 0.4971615869550236, 10.177005080883644, 12.239235317114785, 15.974372713162127, 26.181423976633422
1422, 285.1724344868974, 0.08354216812414056, 0.4969853083873219, 10.173930978976887, 12.235816460165072, 15.969934176390446, 26.171555012329218
1423, 285.37227445489094, 0.08350206732700967, 0.496809217201361, 10.17086007402669, 12.232401081690814, 15.965500336411528, 26.161695848291608
1424, 285.57211442288457, 0.08346201571310438, 0.49663331306542, 10.167792360352774, 12.228989175589188, 15.96107118459596, 26.1518464687581
1425, 285.77195439087814, 0.08342201318684733, 0.49645759564860004, 10.164727832289131, 12.225580735772581, 15.95664671233689, 26.142006858001253
1426, 285.97179435887176, 0.08338205965291452, 0.496282064620821, 10.161666484183984, 12.222175756168523, 15.95222691104997, 26.132177000328536
1427, 286.1716343268654, 0.08334215501623464, 0.49610671965281894, 10.158608310399728, 12.218774230719646, 15.947811772173257, 26.122356880082283
1428, 286.37147429485896, 0.08330229918198809, 0.4959315604161438, 10.155553305312894, 12.215376153383634, 15.943401287167152, 26.112546481639573
1429, 286.5713142628526, 0.0832624920556061, 0.49575658658315613, 10.152501463314099, 12.211981518133172, 15.938995447514321, 26.102745789412104
1430, 286.77115423084615, 0.0832227335427701, 0.49558179782702577, 10.149452778808008, 12.208590318955908, 15.934594244719607, 26.092954787846146
1431, 286.9709941988398, 0.08318302354941064, 0.495407193821728, 10.146407246213275, 12.205202549854384, 15.930197670309978, 26.083173461422405
1432, 287.17083416683334, 0.08314336198170674, 0.49523277424204126, 10.143364859962512, 12.201818204846015, 15.92580571583444, 26.07340179465594
1433, 287.37067413482697, 0.08310374874608491, 0.49505853876354544, 10.140325614502228, 12.198437277963018, 15.921418372863952, 26.063639772096053
1434, 287.57051410282054, 0.08306418374921849, 0.49488448706261856, 10.137289504292799, 12.19505976325238, 15.917035632991375, 26.053887378326227
1435, 287.77035407081416, 0.08302466689802662, 0.49471061881643424, 10.13425652380842, 12.191685654775796, 15.91265748783138, 26.04414459796398
1436, 287.97019403880773, 0.08298519809967364, 0.4945369337029593, 10.131226667537053, 12.188314946609646, 15.908283929020387, 26.034411415660813
1437, 288.17003400680136, 0.08294577726156813, 0.49436343140095196, 10.12819992998039, 12.184947632844915, 15.903914948216475, 26.02468781610208
1438, 288.3698739747949, 0.08290640429136212, 0.494190111589958, 10.125176305653806, 12.18158370758718, 15.89955053709933, 26.014973784006923
1439, 288.56971394278855, 0.08286707909695028, 0.49401697395030947, 10.122155789086314, 12.178223164956533, 15.895190687370158, 26.005269304128156
1440, 288.7695539107821, 0.0828278015864692, 0.49384401816312173, 10.119138374820526, 12.17486599908756, 15.890835390751622, 25.99557436125217
1441, 288.96939387877575, 0.08278857166829638, 0.4936712439102906, 10.116124057412602, 12.171512204129277, 15.886484638987755, 25.985888940198855
1442, 289.1692338467693, 0.08274938925104976, 0.4934986508744908, 10.113112831432213, 12.168161774245098, 15.88213842384391, 25.9762130258215
1443, 289.36907381476294, 0.08271025424358654, 0.49332623873917264, 10.110104691462492, 12.164814703612771, 15.877796737106669, 25.96654660300668
1444, 289.5689137827565, 0.08267116655500265, 0.4931540071885602, 10.1070996321, 12.161470986424355, 15.873459570583787, 25.956889656674193
1445, 289.76875375075014, 0.08263212609463191, 0.4929819559076485, 10.104097647954672, 12.158130616886154, 15.869126916104106, 25.94724217177694
1446, 289.96859371874376, 0.08259313277204512, 0.49281008458220127, 10.101098733649778, 12.154793589218688, 15.864798765517504, 25.937604133300848
1447, 290.16843368673733, 0.08255418649704951, 0.49263839289874856, 10.098102883821888, 12.151459897656633, 15.860475110694807, 25.92797552626478
1448, 290.36827365473096, 0.08251528717968766, 0.4924668805445844, 10.095110093120812, 12.148129536448788, 15.856155943527725, 25.918356335720432
1449, 290.5681136227245, 0.082476434730237, 0.4922955472077638, 10.092120356209582, 12.144802499858027, 15.851841255928786, 25.908746546752244
1450, 290.76795359071815, 0.08243762905920884, 0.49212439257710133, 10.089133667764388, 12.141478782161245, 15.847531039831267, 25.899146144477307
1451, 290.9677935587117, 0.08239887007734774, 0.4919534163421683, 10.086150022474545, 12.138158377649333, 15.843225287189117, 25.889555114045287
1452, 291.16763352670534, 0.08236015769563056, 0.49178261819328983, 10.083169415042454, 12.134841280627114, 15.838923989976891, 25.879973440638302
1453, 291.3674734946989, 0.08232149182526595, 0.491611997821544, 10.080191840183556, 12.13152748541331, 15.8346271401897, 25.870401109470876
1454, 291.56731346269254, 0.08228287237769334, 0.4914415549187574, 10.077217292626287, 12.128216986340494, 15.830334729843104, 25.8608381057898
1455, 291.7671534306861, 0.08224429926458232, 0.49127128917750473, 10.07424576711205, 12.124909777755052, 15.826046750973083, 25.851284414874087
1456, 291.96699339867973, 0.08220577239783185, 0.49110120029110554, 10.07127725839516, 12.12160585401713, 15.821763195635949, 25.841740022034845
1457, 292.1668333666733, 0.08216729168956949, 0.49093128795362173, 10.068311761242809, 12.118305209500598, 15.817484055908276, 25.83220491261521
1458, 292.3666733346669, 0.08212885705215067, 0.490761551859856, 10.065349270435018, 12.115007838593002, 15.81320932388685, 25.822679071990255
1459, 292.5665133026605, 0.08209046839815794, 0.4905919917053487, 10.062389780764617, 12.11171373569553, 15.80893899168859, 25.813162485566888
1460, 292.7663532706541, 0.0820521256404002, 0.4904226071863761, 10.059433287037175, 12.108422895222953, 15.804673051450477, 25.803655138783785
1461, 292.9661932386477, 0.08201382869191201, 0.49025339799994816, 10.056479784070985, 12.1051353116036, 15.800411495329502, 25.79415701711127
1462, 293.1660332066413, 0.08197557746595278, 0.4900843638438057, 10.053529266697007, 12.1018509792793, 15.79615431550258, 25.78466810605127
1463, 293.36587317463494, 0.08193737187600612, 0.48991550441641857, 10.050581729758838, 12.098569892705354, 15.791901504166518, 25.77518839113719
1464, 293.5657131426285, 0.08189921183577903, 0.4897468194169836, 10.04763716811267, 12.095292046350483, 15.787653053537905, 25.76571785793384
